Transect_ID,Dist_2020,Dist_2024_GT,Dist_2024_DLV3,Rate_GT,Rate_DLV3,centroid_x,centroid_y,angle,wave_height,tide_range,monsoon_exposure,Vulnerability,rate_trend
2,33.062895433385854,33.062895629778644,29.32609376776941,4.909819750764655e-08,-0.93420041640411,466797.3701353472,1475575.0108147946,179.9292167139188,1.2750012833849846,0.8139187584564935,1.0,Moderate Erosion,1.5493703486520536
4,500.0000000000159,966.9370049763302,526.2537033042635,116.73425124407856,6.563425826061888,466651.46344343614,1475584.119342199,-0.07109436341670981,1.178764022663194,0.9585874019474893,1.0,Accretion / Land Gain,5.872104320205965
8,499.9999999999984,887.4467134844931,466.2970989079976,96.86167837112367,-8.425725273000197,467068.1474202437,1475200.7614871303,89.92982516483929,1.6971529806969883,1.0214756148201212,8.221156091077482,Severe Erosion,-5.187282582496734
18,499.99999999999113,616.7394342627529,555.4398714303604,29.184858565690437,13.859967857592324,468225.927483847,1474358.157985875,-0.06768033020967523,1.4279819807306877,0.9606882565738033,1.0,Accretion / Land Gain,21.475117139632452
19,499.9999999994353,529.8027577106233,525.9023415320966,7.450689427796988,6.47558538316531,468313.34954575193,1474245.6095362091,86.35600376450067,1.5640682812569728,0.9210845428479677,8.426318372853453,Accretion / Land Gain,5.30481850954863
20,499.9999999999919,529.1850996166895,526.2552560424604,7.296274904174396,6.563814010617108,468400.7723449325,1474133.0617278116,-0.06729665207101174,1.1644096373039639,0.8727380488020662,1.0,Accretion / Land Gain,5.393129225871205
21,499.9999999999603,559.6070615797322,555.707750236968,14.90176539494297,13.926937559251911,468474.5822176179,1474006.9328559772,89.93286406759343,1.8368816477297771,0.8309421733496279,8.10289587651797,Accretion / Land Gain,21.823001636788867
22,500.0000000000024,529.1853717560508,526.2555319399693,7.296342939012106,6.5638829849917215,468546.4007161661,1473878.8170563306,-0.06697523942308231,1.3146476341013225,0.9835074974188025,1.0,Accretion / Land Gain,10.401056630756266
23,500.0000000000545,529.8035217365009,525.9042103592784,7.450880434111596,6.476052589805974,468606.036919522,1473738.5472466233,89.93318675423156,1.5295785701467581,0.9880921791515768,7.700228165957226,Accretion / Land Gain,4.128680660131213
24,499.999999999982,529.8035173442439,525.9042063866768,7.4508793360654835,6.476051596673713,468686.68390596466,1473619.2391323939,89.93331634115071,1.6813837356288381,0.7898560423857806,8.13510102144071,Accretion / Land Gain,9.188851814603536
25,499.99999999988654,529.80351301197,525.9042018075993,7.450878253020875,6.476050451928188,468737.49304927286,1473470.162402133,89.93347827810842,1.5304870764832466,1.0388590669399265,7.781959716104082,Accretion / Land Gain,4.158961987865877
26,500.0000000000759,500.0000000000759,496.1006890075578,0.0,-0.9748277481295275,468818.1407435395,1473350.854723325,89.93363885436298,1.5301402686695522,0.9561246220657129,8.726696885931858,Moderate Erosion,-3.3034765159808117
27,500.0000000000022,470.1964963289128,466.29718531972935,-7.4508759177723505,-8.425703670068216,468868.95073817944,1473201.7782829807,89.93376969526184,1.6362940734969196,1.0203279303429214,7.4922782131430505,Severe Erosion,-7.215892312238045
28,499.999999999976,499.9999998832113,497.0701722599773,-2.9191184580668054e-08,-0.732456934999675,468924.8628658878,1473057.791973157,-0.0661312269084596,0.9125462803446646,0.7992165451947897,1.0,Moderate Erosion,-10.298858158288665
29,499.99999999997846,470.8135938877689,467.88376840212993,-7.296601528052392,-8.029057899462131,468983.0721809721,1472916.0974386386,-0.06599913869942686,0.9408015643154264,0.7955776647908123,1.0,Severe Erosion,-16.653647062027296
30,500.00000000000864,499.9999999785882,497.0701770167015,-5.3551048040390015e-09,-0.7324557458267833,469012.06199959543,1472745.2504321742,-0.06593244759426858,1.1151965753976738,0.8908272642736169,1.0,Moderate Erosion,-3.543893392031647
31,500.00000000002257,499.9999993857567,497.0701785066314,-1.535664608809384e-07,-0.7324553733477899,469070.2724836851,1472603.5567416197,-0.06579975240566006,1.0476159631202209,0.9412295212947089,1.0,Moderate Erosion,-5.796610975019909
32,500.0000000000263,440.393036482719,436.4937262164677,-14.901740879326823,-15.87656844588966,469123.00542709476,1472456.3979487277,89.93429926205712,1.647136836907803,1.0429131594552024,7.747895022368466,Severe Erosion,-14.30533178291329
33,500.00000000004377,410.58956860856335,406.6902583253973,-22.352607847870104,-23.327435418661626,469173.8172679967,1472307.3222538275,89.9344299428716,1.4637961267354465,0.9538674584707355,8.34569411515202,Severe Erosion,-27.86755579626768
34,500.0000000000982,500.0000000000982,496.1006896425175,0.0,-0.9748275893951756,469194.79186293663,1472128.4772879027,89.93449984563463,1.3881541834215256,0.87578329255143,6.916977230283917,Moderate Erosion,-8.036346096071632
35,500.0000000000196,499.9999996514718,497.07018808361903,-8.7136953652589e-08,-0.7324529791001453,469244.67939465883,1471978.4790443648,-0.06539795492520781,1.4193907515823634,0.8112604417378908,1.0,Moderate Erosion,6.595790865507625
36,499.99999999998096,500.00000075574974,497.070191752681,1.8894219522280767e-07,-0.7324520618249863,469273.6720112893,1471807.633434021,-0.06533004652561265,1.1656774652609063,0.9896920564409646,1.0,Moderate Erosion,-1.8613335642576647
37,500.0000000000192,500.0000000000192,497.0701935693128,0.0,-0.7324516076765946,469302.6650208128,1471636.7879530215,-0.06526344546784314,1.2096736059998707,0.812041894332546,1.0,Moderate Erosion,-0.39481058423697535
38,499.99999999998806,470.8120630269071,467.8822586839593,-7.296984243270245,-8.029435329007185,469360.87955036404,1471495.0973486397,-0.06512833236580384,0.9858330906314503,1.0177793635585604,1.0,Severe Erosion,-15.153176260074469
39,500.00000000000864,470.81187874077017,467.8820769810128,-7.297030314809618,-8.02948075474896,469389.8734922862,1471324.25238764,-0.06506175798874711,1.1178883746612223,0.8626856594136714,1.0,Severe Erosion,-10.751394377374872
40,500.0000000000175,499.99999883708574,497.070199568192,-2.907329417212168e-07,-0.7324501079563817,469418.8678290311,1471153.4075230088,-0.06499390295048639,1.216184645513707,1.0106222617331486,1.0,Moderate Erosion,-0.17783715940705125
41,499.999999999996,499.99999962339217,497.0702029243403,-9.415096258180713e-08,-0.7324492689139248,469447.86255110987,1470982.5629193876,-0.06492476725102916,1.026897703101806,0.9356343283476211,1.0,Moderate Erosion,-6.487417156025439
42,499.99999999994793,499.99999999994793,497.2325960463461,0.0,-0.6918509884004607,469264.55308702076,1470966.0839123102,-90.07199305426153,0.8563550185182182,0.8701621472987338,7.733716298715233,Moderate Erosion,1.1866391033278991
43,499.99999999994793,499.99999999994793,497.2325991346143,0.0,-0.6918502163334068,469064.553244904,1470966.3352154356,-90.07199305426153,0.7099045122785466,0.8395730964264511,8.147600259802719,Moderate Erosion,-3.6950436659274315
44,500.0000000000942,500.0000000000942,497.2326022225631,0.0,-0.6918494443827825,468864.5534027872,1470966.5865185608,-90.07199306760172,0.7562462532974928,0.8538551957141365,8.049707962610652,Moderate Erosion,-2.1503181933491664
45,500.0000000000942,500.0000000000942,497.2326053108312,0.0,-0.6918486723157571,468664.5535606704,1470966.8378216862,-90.07199306760172,0.7097443239320748,0.9153961810320006,8.374416151844718,Moderate Erosion,-3.700381733462742
46,500.0000000000942,500.0000000000942,497.23260839909926,0.0,-0.6918479002487317,468464.5537185536,1470967.0891248116,-90.07199306760172,1.0778420434428249,0.887306385090431,8.310768365842918,Moderate Erosion,8.569543022295957
